id,name,type,ownership_percentage,address,birthdate,nationality
66,Dr. Brittany Barton,Company,1.96,"66800 Paul Pass
North Brianburgh, OK 84277",,
67,Bryan Green,Person,82.46,"Unit 7890 Box 2848
DPO AP 19265",1983-11-05,Netherlands Antilles
68,Daniel Joseph,Company,62.01,"680 Jacob Highway
Port Bradley, NJ 19999",,
69,Angela Williams,Company,38.23,"844 Mueller Mountain Apt. 595
Maryberg, AS 46974",,
70,Danielle Alexander,Person,89.2,"626 Derek Squares
West Victortown, MN 60593",1943-07-10,Greece
71,Sophia Stuart,Person,17.55,"1701 Eric Spurs
North Tiffany, NJ 85242",1955-10-16,Sudan
72,Rachel Leblanc,Company,16.43,"84653 Kyle Ville
Moorefort, UT 27815",,
73,James Bryant,Company,3.76,"174 Stephen Junction
Port Claudia, MP 64748",,
74,Meghan Hill,Person,12.87,"4247 Rhonda Branch
Port Jessicamouth, HI 33430",2002-01-11,Georgia
75,Marissa Collins,Company,76.06,"Unit 5594 Box 9313
DPO AE 93971",,
76,Kelly Fitzgerald,Company,9.34,"2947 Frances Lights
New Susan, NH 76203",,
77,Joshua Hughes,Company,83.12,"5348 Karen Shore Apt. 211
Michaelside, MD 56308",,
78,Monica Thompson,Person,15.07,"58921 Samuel Loop
North Andrew, GA 86846",1960-12-19,Romania
79,Evan Osborne,Person,98.58,"8639 Compton Cliff
Port Bradyborough, TX 19665",1969-11-24,Saint Barthelemy
80,Christopher Hayes,Person,67.58,"089 Jonathan Harbor
Figueroabury, IL 80860",1950-07-15,Finland
81,Todd Gomez,Company,67.81,"245 Walker Oval
Jacobburgh, MS 77297",,
82,Terry Lee,Company,83.66,"937 White Ferry Apt. 888
Alisonside, CA 41822",,
83,Mr. John Lewis,Company,43.37,"5886 Jordan Alley Suite 886
North Jason, OH 93839",,
84,Kayla Campbell,Company,39.23,"0864 Martin River Apt. 094
Lake Kaylaville, WV 17317",,
85,Timothy Watson,Company,33.72,"USNS Garcia
FPO AE 33156",,
86,Tonya Thompson,Company,27.28,"87018 Hurley Terrace
Meganfort, GA 53999",,
87,Sabrina Cook,Company,49.77,"687 Allen Key Suite 916
East George, WI 70061",,
88,Laura Green,Company,10.99,"375 Collins Neck
Bakerview, MS 45495",,
89,Bruce Adams,Company,20.62,"336 Paul Groves Suite 087
Gonzalezport, AL 53188",,
90,Joseph Cortez,Person,23.26,"85954 Justin Square Suite 388
South Michael, NY 83219",1973-07-10,Western Sahara
91,Heather Cortez,Person,10.78,"161 Norman Island
Port William, MI 91755",1950-01-27,Belarus
92,Kristin Leon,Person,15.62,"8363 Frank Stream
Robertland, WA 72045",1949-01-04,Grenada
93,Max Fletcher,Person,10.74,"80345 Patrick Isle Suite 252
Mitchellborough, LA 42487",1966-09-08,Liechtenstein
94,Jennifer Bates,Person,57.65,"04495 Graham Drives
West Melanie, VT 60491",1957-09-26,Armenia
95,Dan Barnett,Person,51.46,"USS Arias
FPO AP 13803",2003-12-25,Peru
96,Cameron Fitzpatrick,Person,68.67,"6715 Vazquez Inlet Suite 839
New Christinaborough, MH 41799",1991-04-14,South Georgia and the South Sandwich Islands
97,James Jones MD,Person,2.28,"USCGC Cervantes
FPO AA 72260",1997-11-27,Cyprus
98,Reginald Cruz,Company,87.14,"49186 Miles Coves Apt. 085
Smithchester, WY 13779",,
99,Teresa Morales,Company,81.68,"5661 Foster View Suite 333
Andersonmouth, NY 92138",,
100,Sheila Carter,Company,79.62,"66727 Kristine Motorway
Port Morgan, WY 65889",,
101,Kristin Pearson,Company,34.27,"0813 Linda Rest Apt. 216
Andrealand, MD 68459",,
102,Amy Duran,Company,87.23,"7278 Spencer Mills Suite 523
Anneburgh, PW 22438",,
103,David Torres,Company,81.72,"321 Joseph Lake Suite 759
Lauraland, VI 25193",,
104,Andrew Barber,Person,94.87,"81516 Burns Corner Suite 851
Smithbury, NJ 38756",1980-03-04,Costa Rica
105,Deborah Allen,Person,22.54,"785 Rebecca Drive Apt. 150
Smithmouth, AZ 61207",2001-05-21,Liechtenstein
106,Catherine Perez,Company,54.19,"USCGC Allen
FPO AP 49612",,
107,Thomas Nelson,Person,92.79,"Unit 7493 Box 7713
DPO AA 33415",1969-04-28,Saint Lucia
108,Catherine Callahan,Company,8.36,"9652 Yates Drives
Kariton, KY 64958",,
109,Brittany Wright,Company,76.55,"53615 Dawn Mill
Kellyhaven, OR 16747",,
110,Stephanie Maldonado,Person,81.19,"4279 Jason Avenue Apt. 700
Paulport, ID 84940",1952-12-27,Senegal
111,Jamie Sullivan,Person,39.61,"1499 David Locks
Walkerport, PA 40698",1949-07-26,Pitcairn Islands
112,Catherine Perez,Company,35.15,"938 Wanda Estates
Riveramouth, AR 15159",,
113,Jessica Soto,Person,65.51,"346 Andrew Centers
North Robertburgh, GA 54502",1967-09-23,Kuwait
114,Susan Wood,Company,9.17,"87439 Wilson Path Apt. 323
West Nancy, NV 80985",,
115,Kathryn Walker,Person,81.09,"504 Nancy Row
East Deniseview, HI 67478",1997-10-27,Madagascar
116,Elizabeth Bartlett,Person,57.36,"1256 Matthew Rest
North Johnborough, MS 91355",2000-08-31,Cook Islands
117,James Butler,Person,34.61,"77669 Helen View Apt. 086
Garciashire, PW 43981",1993-10-26,Bouvet Island (Bouvetoya)
118,Richard Day,Person,71.26,"6969 Elizabeth Stream Apt. 412
Merrittstad, OH 44961",1991-07-10,Germany
119,Ariana Martin,Person,93.49,"83812 Reed Knoll
North Crystalton, TX 39751",1955-10-15,South Africa
120,Edward Jordan,Person,73.78,"80769 Brown Mountain
Longtown, SD 78092",1950-01-29,Nauru
121,Anthony Nelson,Person,24.78,"50017 Mcintyre Fort Apt. 805
Port Tonya, OK 18068",1971-03-25,Paraguay
122,Brittany Daniels,Company,71.56,"0679 Kristen Prairie
Beckyfurt, GA 84629",,
123,Nicole Freeman,Company,9.76,"3269 Timothy Passage Apt. 947
West Ashleyfurt, MH 73800",,
124,Elaine Wolf,Person,56.55,"11898 Smith Coves Apt. 774
East Summer, NY 40800",1947-07-28,Equatorial Guinea
125,Glen Francis,Person,22.81,"76779 Eric Grove
Levyshire, NE 93788",1998-05-17,Panama
126,Ethan Parker,Company,77.17,"8440 Hernandez Manor Suite 624
Petersenhaven, FM 41814",,
127,Nathan Cooley,Company,53.65,"667 Martinez Locks
West Robertborough, AL 05565",,
128,Chelsea Campbell MD,Company,42.63,"2488 Gomez Hollow Apt. 087
North Aaronchester, MN 13877",,
129,Michael George,Person,90.26,"62357 Lawrence Lakes Suite 321
Garyburgh, OH 66892",1959-09-30,Togo
130,Erin Brown,Person,97.59,"409 Lance Lodge Suite 046
New Andrew, PR 12418",1981-04-20,Mexico
131,Lindsay Higgins,Person,27.76,"22053 Perry Islands
Lake Kevinton, VT 24133",1972-07-20,Nepal
132,Carla Kim,Company,42.59,"73930 Nash Forest
Jenniferberg, AL 00757",,
133,Brittany Taylor,Person,73.66,"970 Natalie Square Suite 275
North Carolton, WA 64419",1956-05-02,Iraq
134,Derrick Huber,Company,66.1,"6076 Smith Cliffs
New Ashley, KY 36627",,
135,Ashley Zavala,Person,19.19,"USNV Murphy
FPO AP 10871",2006-07-31,United Arab Emirates
136,Renee Yates,Person,76.49,"36962 Joseph Walks Apt. 180
Lunamouth, GU 56393",1943-04-07,Mozambique
137,Scott Gibson,Person,37.06,"0201 Kimberly Causeway
Josephstad, GA 94826",1935-12-24,United States Virgin Islands
138,Stephen Bailey,Person,34.22,"8082 Butler Grove Apt. 620
Port Deanna, ID 11079",1991-02-19,Norway
139,Vanessa Caldwell,Person,8.0,"271 Kenneth Spurs
Port Feliciaborough, DE 29866",1965-05-16,Trinidad and Tobago
140,Sean Gibson,Person,12.48,"939 Hogan Gardens
Branchshire, AL 07635",1972-08-17,Russian Federation
141,Sara Collier,Person,89.53,"060 Seth Viaduct
North Katherine, MP 72771",1974-05-04,Montenegro
142,Judith Benjamin,Company,63.33,"Unit 0084 Box 2306
DPO AP 42799",,
143,Timothy Hunter,Company,6.41,"99310 Deborah Throughway Suite 603
Millershire, MI 42147",,
144,Elizabeth Robinson,Person,29.05,"740 Ellison Ridges Suite 714
Thomasberg, AK 46340",1949-09-17,Pitcairn Islands
145,Jenna Richard,Person,33.31,"0498 Thompson Parkway Suite 995
New Cynthiamouth, WI 37539",1947-05-07,Suriname
146,Kristy Smith,Person,47.23,"457 Murray Springs Apt. 345
Debratown, TX 27044",2000-10-08,United Arab Emirates
147,Robert Bowen,Company,19.25,"673 Bender Avenue
Tylerview, MP 77601",,
148,Harry Castillo,Person,7.23,"57374 Sheppard Square Apt. 188
West Daniel, MS 71528",1966-03-16,Bangladesh
149,Justin Jones,Company,22.35,"4973 Delacruz Streets Suite 582
New Jamesmouth, MA 68032",,
150,Zachary Silva,Person,65.27,"83503 Michael Shores
Moralesland, MI 52182",1991-04-07,Saint Martin
151,Miranda Parker DVM,Person,13.83,"2002 Diaz Viaduct Apt. 233
Abbottbury, MS 35842",1977-01-31,Timor-Leste
152,Sarah Charles,Company,45.53,"787 Sherman Lakes Suite 942
North David, RI 65575",,
153,Madeline Arellano,Person,11.28,"5159 Vaughan Hill Apt. 230
Ellisonmouth, LA 13044",2001-03-11,Aruba
154,Heather Fields,Company,58.56,"783 Tricia Motorway
Carolynland, LA 19600",,
155,Carol Martinez,Company,32.74,"Unit 2326 Box 3945
DPO AP 22290",,
156,Brian Wiley,Company,38.75,"770 Carr Causeway Apt. 590
Skinnerport, PA 54208",,
157,Brenda Quinn,Person,42.65,"06445 Woodard Pike
New Juan, MD 17041",1989-09-17,Georgia
158,Sharon Smith MD,Company,32.23,"398 Alvin Squares Suite 427
Cordovafurt, OH 11951",,
159,Brandon Butler,Person,1.3,"2298 Shea Mall Suite 186
Newmanmouth, NH 00845",1971-08-18,Guinea-Bissau
160,Shannon Ortiz,Person,35.9,"836 Ortiz Dale Apt. 185
Lake Douglas, AL 93127",1956-02-23,Bangladesh
161,John Mcdonald,Person,59.4,"61099 Nancy Overpass Apt. 323
West Katelyn, OR 90894",1976-05-24,Kenya
162,Cynthia Robinson,Person,37.19,"607 Romero Extensions
Port Lauriefurt, MD 40059",1971-06-23,Singapore
163,John Adams,Person,20.86,"0961 Sheppard Walks Suite 467
Bentonville, NE 24203",1980-06-13,Guam
164,Brenda Jones,Person,35.98,"99023 Thomas Island Apt. 519
Allenchester, MA 74728",1995-02-09,New Zealand
165,Margaret Blake,Person,17.38,"844 Hernandez Plains
East Nicole, FM 00644",1983-08-24,Palestinian Territory
166,Lisa Williams,Person,61.29,"98457 Gonzalez Lodge
Tapiaside, MT 99608",1988-07-08,British Indian Ocean Territory (Chagos Archipelago)
167,Madison Vargas MD,Person,41.43,"6884 Jennifer Rest Suite 690
Wadeport, PW 13704",1945-04-22,Heard Island and McDonald Islands
168,Micheal Zuniga,Company,82.11,"68410 Taylor Drive
Port Christopher, PR 01892",,
169,Amber Rice,Company,26.05,"64824 Moore Mission
Zacharybury, NY 99447",,
170,Cynthia Barajas,Company,90.66,"5674 Barry Key
Lake Darrenside, VA 18546",,
171,Michael Cooper,Company,47.28,"31800 Webb Manors Suite 293
Kingfurt, CA 36285",,
172,Julie Bauer,Person,87.25,"344 Smith Plains
Jonathanchester, PW 77219",2002-07-08,South Africa
173,Christy Juarez,Person,46.71,"661 Peter Square Suite 482
Silvaborough, TN 53165",1951-12-14,Netherlands Antilles
174,Debra Jackson,Person,86.59,"81957 Harper Summit Apt. 647
Port Robert, VI 73050",1946-09-08,Cyprus
175,Marie Morales,Person,94.69,"131 Isaac Ports
Amyton, PW 46402",1996-03-19,Honduras
176,Anthony Dunlap,Person,77.64,"USNS Higgins
FPO AE 63722",2006-02-16,Uruguay
177,Cody Cisneros,Company,39.63,"28835 Diaz Highway Apt. 942
Johnsonport, OR 85686",,
178,Michele George,Person,36.99,"1291 Victoria Underpass Suite 533
Port Bryanview, DE 54918",2002-07-11,Guatemala
179,Alex Dawson,Company,61.94,"9710 Heather Village
Brianport, SD 74487",,
180,Latoya Mendoza,Person,36.01,"USCGC Gonzalez
FPO AA 35649",1958-04-07,Mexico
181,Samantha Wheeler,Company,0.99,"5358 Gail Mountains
Sharonchester, NH 11317",,
182,Stephanie Cannon,Person,87.28,"USS Haley
FPO AA 22541",1989-07-08,Cook Islands
183,Nathan Aguirre,Company,82.23,"625 Miller Port Apt. 393
West Jay, PW 71799",,
184,Keith Aguilar,Person,3.92,"274 Frazier Terrace Apt. 060
Skinnermouth, VT 22182",1958-07-30,Portugal
185,Diane Chan MD,Person,68.95,"635 Marvin Turnpike Apt. 094
Danielsberg, SC 36224",1985-06-10,Antigua and Barbuda
186,Elizabeth Stephens,Company,29.78,"6252 Amanda Forest Suite 570
South Kimberlyton, OR 32054",,
187,Yolanda Evans,Person,99.67,"53651 Aaron Club Apt. 980
South Davidfort, MN 38243",1970-04-04,Iceland
188,Edward Ellis,Company,1.91,"12335 Jeremy Vista
West Michaelton, MA 81559",,
189,Robyn Kennedy,Person,44.48,"263 Shelly Plains Suite 500
Phillipsside, DC 79823",1966-07-29,Niger
190,Krystal Wheeler,Person,88.18,"96563 Herring Gardens Suite 061
North Patricia, UT 66069",1983-10-16,India
191,Jason Rodriguez,Company,60.67,"35911 Jacob Plaza
New Kelseyburgh, PR 27181",,
192,Melissa Estes,Company,32.88,"97320 Wesley Burgs
Patrickland, TX 91442",,
193,Mrs. Anna Day,Person,53.14,"66858 Kyle Underpass Apt. 675
Stefaniefort, OK 32777",1978-12-21,Barbados
194,Angela Scott,Company,47.01,"0554 Brian Extensions Suite 537
Davisland, MA 88617",,
195,Lauren Hernandez,Person,26.72,"42486 Patricia Pike Suite 252
Mckenzieland, IL 58218",1990-03-20,Saint Kitts and Nevis
196,Daniel Thompson,Company,22.35,"14375 Chavez Well Apt. 546
Mitchellbury, NH 30254",,
197,Megan Gillespie,Person,71.3,"5049 Daniel Cape Suite 168
New Jamesshire, AR 67942",2006-12-23,Guam
198,Ryan Steele,Person,84.84,"972 Brandon Squares
Wellsbury, MO 94675",1995-04-22,Jersey
199,Andrea Holder,Company,9.13,"1210 James Passage
Lake David, NY 25080",,
200,Michele Johnson,Person,4.05,"0572 Powell Plaza
Lake Christineland, MN 53742",1953-02-01,Iceland
201,Kevin Mcmahon,Company,70.87,"99479 Hodges Walk Apt. 275
West Matthew, OK 24130",,
202,Alyssa Villarreal,Person,47.13,"1047 Jacqueline Mountain Apt. 825
Kirbymouth, MD 28306",1978-08-17,Libyan Arab Jamahiriya
203,Vanessa Byrd,Company,52.75,"6893 Nathan Road
New Aaronchester, IN 63938",,
204,Brian Davidson,Person,6.34,"288 Brandon Harbors
East Danielmouth, DC 15371",1991-01-18,Italy
205,Mrs. Katie Spencer,Company,7.8,"207 Bryan Flats
Port Alexisfurt, SC 13347",,
206,Alan Scott,Company,9.56,"8413 Ortiz Ports Suite 237
East William, KY 27078",,
207,Rachel Smith,Person,63.84,"USNV Carlson
FPO AP 95407",1971-12-24,Norfolk Island
208,Lisa Smith,Person,71.54,"727 Stacey Brooks
Jennachester, VI 97773",1941-04-13,Pakistan
209,Christopher Williams,Person,52.51,"9230 Miller Way
South Bradleychester, DE 98744",1994-05-16,Niue
210,Jeff Williams MD,Person,21.73,"27698 Renee Circle Suite 338
Heatherburgh, RI 15441",1972-03-01,Niue
211,Zachary Nicholson,Company,11.99,"148 Rhonda Mission Suite 980
Williambury, OH 96666",,
212,Scott Stone,Company,8.76,"03032 Christina Inlet
Bullockberg, NC 18261",,
213,Natalie Ochoa MD,Company,54.65,"9035 Bradley Avenue Suite 031
New Matthew, SC 46437",,
214,Kimberly Smith,Person,58.21,"2633 Jessica Corner
Clarencefurt, WV 76282",1962-01-29,Sri Lanka
215,Stephanie Scott,Company,37.12,"24319 Laura Parkways Suite 595
Rodriguezview, WI 98605",,
216,Terri Mullins,Company,80.04,"16835 Tran Parkways
Petersshire, UT 84062",,
217,Amanda Marshall,Person,45.62,"21359 Anna Forge
East Chadshire, AR 39945",1940-10-20,Uzbekistan
218,Theresa Hubbard DVM,Company,67.24,"020 Manning Plaza Apt. 717
Curtisburgh, LA 58347",,
219,Isabel Jones,Person,90.95,"014 Morgan Forest
East Paulmouth, VA 57219",1960-10-04,Zambia
220,Robert Lowe,Person,4.92,"9370 Johnson Lights
West Michelletown, NC 84826",2001-11-10,Colombia
221,Luis Brown,Company,91.12,"533 Harris Trace
North Raymond, KY 75492",,
222,Regina Mcconnell,Person,65.87,"070 Mike Locks
North Melissatown, WI 39653",1996-05-15,Western Sahara
223,Kathy Galvan,Person,13.58,"994 Shane Stravenue
Thompsonchester, KS 19110",1946-02-13,Saint Lucia
224,Monica Hayes,Person,8.24,"84750 Terri Rue
Amyshire, HI 95136",1955-12-24,Heard Island and McDonald Islands
225,Bradley Pope,Company,93.09,"9218 Washington Parkways
Millerton, CA 45399",,
226,Erica Murray,Person,18.59,"745 Jeffrey Rest Apt. 873
Taylorhaven, WY 77182",1935-04-06,Philippines
227,Eileen Jackson,Person,3.1,"8642 Ariel Gardens Suite 877
Lake Christopherchester, OH 77622",1986-07-06,Mozambique
228,Adam Stewart,Company,25.66,"8364 Tonya Parkways
Stevensberg, DC 47049",,
229,Janet Smith,Company,48.72,"69653 Austin Route Apt. 715
South George, AR 52373",,
230,Ryan Wyatt,Person,63.57,"3514 Katherine Mills Apt. 427
South John, HI 49895",2004-12-20,Senegal
231,Amanda Brown,Company,33.15,"2204 James Harbor
Jaclynport, VA 02121",,
232,Michael Gregory,Person,49.29,"92481 Candice Well Suite 507
New Michael, GA 60323",1937-02-07,Mauritania
233,John Mitchell,Person,20.28,"322 Bullock Forges
Latashaside, MH 10023",1944-06-17,Mayotte
234,Mr. Daniel Caldwell,Company,29.48,"28615 Nichols Hill
New Andrewchester, AK 49358",,
235,Allison Forbes,Company,14.3,"75625 Parker Track Suite 269
New Jeremy, ME 34084",,
236,Elizabeth Barry,Person,77.21,"Unit 1888 Box 5430
DPO AP 05470",1935-06-25,Libyan Arab Jamahiriya
237,Sylvia Gould,Person,78.94,"98902 Connie Fords
New Jack, UT 61781",1999-12-27,Chad
238,Autumn Ortiz,Company,17.94,"935 Osborn Lakes
Jeremyville, MS 57285",,
239,Eileen Huffman,Person,62.41,"7655 Welch Springs
New Allison, VA 69795",1991-06-21,Trinidad and Tobago
240,David Ross,Company,68.92,"6107 Mcdaniel Centers Suite 830
South Mary, LA 82000",,
241,Andrew Mccoy,Person,43.16,"5715 Francis Inlet Suite 406
Gonzalezborough, MD 84841",1980-01-31,French Guiana
242,David Norris,Company,26.75,"925 Hall Cove
South Georgefurt, OK 88321",,
243,Megan Reynolds,Person,49.29,"105 Katelyn Crest
North Debra, WA 47828",1979-06-17,Saint Lucia
244,Dr. Roger Myers,Company,3.53,"83560 Kimberly Mountains Apt. 581
Hubbardmouth, NY 58015",,
245,Scott Sullivan,Company,90.62,"813 Holloway Wall
Victorialand, VA 14720",,
246,Justin Miller,Person,52.33,"68842 Tammy Flats
Port Jonathan, CA 32018",1978-07-06,Kyrgyz Republic
247,Tammy Herrera,Company,66.63,"75201 Jean Mount Suite 623
Benderland, SC 29272",,
248,David Yang,Person,51.64,"1895 Frost Forks
East Angelicaville, AZ 38817",1992-03-23,Reunion
249,Misty Baker,Person,49.45,"62566 Erickson Islands
Port Juan, VA 40929",1994-05-17,Equatorial Guinea
250,William Martin,Company,4.77,"15299 Fields Plains
West Rhonda, MP 08878",,
251,Bethany Taylor,Person,51.78,"5088 Kristin Extension Suite 853
Dianashire, GU 26904",1965-02-10,Liberia
252,Laura Carroll,Company,64.26,"27126 Rebecca Glens Suite 384
Rodriguezberg, MN 24819",,
253,Carrie Scott,Company,24.69,"630 Kayla Coves Apt. 643
Cruzmouth, VA 47022",,
254,Joan Sandoval,Company,58.29,"98257 Jose Unions Apt. 657
Lake Eric, LA 27868",,
255,John Snyder,Person,33.89,"06622 Miller Viaduct
Sallymouth, OK 00536",1947-04-28,Sri Lanka
256,April Wall,Person,87.14,"74970 Christopher Key Apt. 006
Barbaraville, MO 61485",1987-11-11,Honduras
257,Matthew Patterson,Person,36.97,"010 Eric Forest Suite 888
West Billymouth, GU 87280",1984-07-18,Indonesia
258,Luis Brown,Person,14.76,"37571 Garrett Rest Suite 041
Cowantown, SC 15824",1962-05-31,Morocco
259,Daniel Ryan,Person,83.22,"512 Mackenzie Ford
Leslieborough, WY 13644",1961-11-29,Jamaica
260,Antonio Robertson,Person,17.13,"7150 Christopher Summit
New Erinborough, AZ 21855",1950-04-22,Pakistan
261,Jerry Moore,Person,5.57,"13395 Jeffrey Shores Suite 563
Patrickberg, ID 32298",1980-03-29,Saint Martin
262,Monica Smith,Person,61.48,"74823 Andrew Key
Jessicahaven, OH 95658",1992-10-30,Jersey
263,Jimmy Miller,Person,83.15,"821 Lynch Port Apt. 016
West Nicholasberg, AK 99227",1997-07-18,Swaziland
264,Kyle Higgins,Company,42.83,"417 Catherine Vista Apt. 300
Murphymouth, WY 61991",,
