id,name,address,birthdate,nationality,ownership_percentage,type
129,Austin Sanders,"96021 Jennifer Mission
North Shelby, TX 71186",1978-04-02,Kiribati,2.36,Person
130,Karen Harris,"Unit 8027 Box 3705
DPO AE 70496",1981-10-18,Norfolk Island,25.8,Person
131,Ashley Fields,"52324 Sarah Mountain Apt. 782
West Barbaramouth, AR 64197",1909-03-04,United States Minor Outlying Islands,29.73,Company
132,Katherine Brown,"46722 Amy Parkways Suite 628
Lewistown, DE 67206",2014-08-12,Burkina Faso,11.65,Person
133,Jordan Rice,"318 Justin Cliffs Suite 173
Sandrabury, VA 26705",1959-06-06,Mali,58.31,Company
134,Sean Clark,"6912 Castillo Forest Apt. 236
Lake Krista, AS 17036",1916-07-24,Vietnam,81.0,Person
135,Mary Smith DDS,"Unit 7158 Box 1772
DPO AE 17162",1924-09-22,Chad,66.38,Person
136,Jill Wilson,"560 Wheeler Knolls Suite 264
Becktown, OK 17471",2006-04-29,Netherlands,9.34,Person
137,Gabrielle Abbott,"59364 Melissa Via Apt. 920
Millerborough, MP 05295",1935-09-17,Libyan Arab Jamahiriya,79.98,Company
138,Deborah Henderson,"50779 Ortiz Shoals
South Stevenburgh, FL 39715",1971-05-02,Paraguay,96.21,Company
139,Harry Banks,"2698 John Island
Elizabethview, ID 51255",1931-03-22,Romania,2.12,Person
140,Natasha Abbott,"37703 Griffin Throughway
South Kathyborough, MH 87561",1960-04-25,Bahamas,85.3,Company
141,Lydia Mccarthy,"675 Delgado Islands
North Laurenchester, IA 22362",1943-09-08,Tajikistan,40.47,Person
142,Jeremy Gomez,"48668 Turner Lake
Grossport, VA 02137",1946-09-24,Nigeria,62.59,Person
143,Julia Martin DVM,"8573 Zavala Keys Apt. 642
Jordanberg, AR 84000",1959-05-03,Moldova,42.4,Person
144,Andrea Chapman,"395 Jennifer Locks Suite 367
Donaldfurt, KY 66146",1917-09-18,Antarctica (the territory South of 60 deg S),96.52,Company
145,Kimberly Hill,"414 Kathleen Crossing Apt. 641
New Rhondaside, SC 89457",1965-02-03,Antarctica (the territory South of 60 deg S),87.06,Person
146,Jennifer Clark,"9165 Nicole Mews Suite 417
East Victoria, PR 36173",1938-06-27,Sudan,3.55,Company
147,Lisa Weiss,"409 Nelson Prairie Apt. 683
South Tonyaborough, AR 35888",1952-08-17,China,45.56,Company
148,Ariel Gonzalez,"USS Crosby
FPO AP 85754",1914-09-23,Qatar,83.62,Company
149,Margaret Wilson,"USNV Garrett
FPO AA 56333",1972-12-22,Heard Island and McDonald Islands,86.61,Company
150,Edward Hodge,"96414 Baldwin Ranch
Geraldburgh, DE 35552",1996-10-21,Georgia,57.35,Person
151,Bonnie Singleton,"17179 Mary Bridge
Reedtown, CO 70986",1938-01-25,Monaco,29.17,Company
152,Alexis Jimenez,"399 Melinda Path
Patricktown, MH 61456",1951-04-18,Dominican Republic,82.4,Company
153,Jaime Sutton,"2224 Salas Views Apt. 011
West Bethany, AZ 37541",1949-05-21,New Zealand,25.81,Person
154,Daniel Moore,"2945 Charles Manor
New James, OR 20595",1998-06-24,Liberia,94.85,Company
155,John Collier,"4984 Diane Way
South Jennifermouth, IN 78431",1971-08-08,Andorra,6.43,Company
156,Chelsea Ramirez,"7054 Jeremiah Bypass Apt. 672
Phamhaven, CA 72312",1985-12-26,Netherlands Antilles,64.85,Company
157,Daniel Ramirez,"241 John Motorway
Lake Karenview, PW 74257",1968-04-18,Norfolk Island,9.19,Company
158,Corey Moore,"6058 Scott Greens Suite 123
North Kimberlyfort, NM 07848",1978-07-24,Latvia,56.0,Company
159,Adam Montoya,"7928 David Lakes Suite 173
North Josestad, DE 98273",1981-08-17,Lao People's Democratic Republic,38.91,Company
160,Jerome Lindsey,"132 Kline Path Apt. 850
Hardymouth, MO 42062",1992-06-26,Cayman Islands,26.91,Person
161,George Dominguez,"01062 Duncan Row Apt. 905
North Michaelside, GU 17376",1911-03-23,Turkey,80.08,Company
162,Todd Brown,"265 Dixon Radial
Smithberg, TX 45590",1916-11-26,Martinique,11.15,Person
163,Timothy Jackson,"36583 Deanna Field
Andrewstad, UT 29309",2003-03-04,Eritrea,95.52,Person
164,Tina Goodman DVM,"0204 Raymond Motorway
Richmondbury, RI 95697",2022-11-30,Equatorial Guinea,94.6,Company
165,Michael Strong,"0685 Cheryl Union
Lake Jacob, GU 12357",1944-04-23,Micronesia,19.48,Company
166,Amy Davis,"729 Gutierrez Creek Suite 513
Savagefurt, RI 84695",1971-09-22,Japan,70.2,Person
167,Rita Lozano,"66871 Lewis Port Suite 677
New Anthony, TX 15834",2020-04-05,Antigua and Barbuda,47.6,Company
168,Charlene Williams,"5692 Jimmy Crescent
Wallsview, MO 50313",1968-08-02,Pitcairn Islands,22.82,Company
169,Kenneth Campbell,"66761 Austin Corners Apt. 026
Callahanview, MP 88585",1917-08-20,Jamaica,80.93,Person
170,Rebecca Allen,"98224 Sharon Junction
Munozport, GA 80783",1989-05-16,Saint Martin,20.61,Company
171,Donna Wilson,"56259 Oneal Rest Suite 160
Michellebury, WY 17372",1981-02-10,Libyan Arab Jamahiriya,92.2,Company
172,Jon Wilcox,"20096 Thompson Center Apt. 279
Jamesshire, WI 59287",1940-11-26,New Zealand,29.03,Person
173,Stuart Williams,"88319 Shane Village
East Courtney, KY 64207",1985-01-21,France,94.03,Company
174,Nathan Gomez,"USNS Chung
FPO AE 96680",1910-09-12,Latvia,23.84,Company
175,Matthew Juarez,"1556 Francisco Isle
Nelsonchester, OK 45600",2007-03-29,Turkey,48.97,Company
176,Amanda Martinez,"109 Amanda Hill
West Juanton, WV 75541",1940-01-11,Dominican Republic,38.11,Person
177,Manuel Grant,"643 Jill Prairie
North Daniel, MH 97659",1912-05-01,Dominica,20.6,Person
178,Natalie Russell,"3110 Jeffrey Grove Suite 203
Gillport, MH 39058",2017-10-05,Turkey,26.48,Company
179,Karen Morales,"408 Wilkinson Freeway Suite 554
Port Tara, NH 50907",1937-06-03,Swaziland,94.61,Company
180,Crystal Neal,"5753 Sandra Fords
Claytonton, AR 05118",2022-05-06,North Macedonia,73.15,Company
181,Crystal Scott DVM,"94528 Scott Trace
Washingtonstad, LA 00535",2021-08-22,Norway,80.93,Company
182,Kathleen May,"0945 Joseph Junction Apt. 962
Paigeside, MS 86233",1970-03-12,Aruba,13.87,Company
183,Mrs. Caitlin Marshall,"1455 Wesley Flats Suite 380
South Michaelport, AR 17275",2006-02-07,Pitcairn Islands,7.88,Person
184,Ashley Valencia,"63596 Flores Burg
West Noah, MN 17706",1935-03-23,Andorra,20.73,Company
185,Teresa Meyer,"33283 Suzanne Courts Apt. 186
Tinabury, AL 16500",1959-10-19,Belarus,25.05,Person
186,Ryan Snow MD,"2601 Yates Square
New Kimberly, NM 51372",1972-12-12,Iran,70.33,Company
187,George Thompson,"956 Gibson Crossing
Port Phillipmouth, CA 01537",1988-02-19,South Georgia and the South Sandwich Islands,83.01,Person
188,Victor Stanley,"4170 Chase Well
Jillton, MP 62512",1993-04-20,Comoros,32.27,Company
189,Elizabeth Jones,"3385 Martin Village
Port Stephen, DE 64840",1935-07-23,Guernsey,38.04,Person
190,Ashley Davies,"4900 Wilson Crossing
Mcphersonside, OR 01436",1957-04-08,British Virgin Islands,62.73,Person
191,Derek Leonard,"5366 Heather Locks
Jeffreyville, ME 72042",2002-10-25,India,67.32,Company
192,Tracy Rodriguez,"303 Ortiz Knolls
Shawview, WY 91432",1944-10-07,Spain,90.94,Company
193,Heather Reynolds,"228 Sarah Parkway
South Brandon, VA 86855",1916-10-25,Guyana,34.11,Person
194,John Kennedy,"57689 Underwood Radial
Stevensfort, MI 90560",2024-03-07,Guyana,64.27,Person
195,William Lewis,"9083 Angela Lakes
Paulport, SD 72167",1940-05-11,Martinique,91.81,Company
196,Timothy Cooke,"1023 Dawn Spring Apt. 125
Bobbyside, MD 93575",1918-08-17,French Southern Territories,0.74,Company
197,Victoria Gross,"7185 Perkins Knolls Suite 107
West Antoniochester, WV 09833",2017-06-13,United States Minor Outlying Islands,78.76,Company
198,Charles Stewart,"USNS Cline
FPO AP 34899",1964-02-04,Martinique,9.42,Company
199,Stephanie Berger,"87020 Skinner Circle
Aguirretown, AR 38310",1929-08-10,Burundi,12.48,Company
200,Tammy Robbins,"556 Danny Pines Suite 267
Carolynmouth, MT 13888",1993-09-05,Saint Martin,53.59,Company
201,Wesley Young,"955 Kathryn Station Apt. 424
Andrewville, LA 51961",1979-12-23,Cameroon,21.84,Company
202,Ashley Jackson,"4594 Johnson Glens Apt. 443
Burkeside, IN 01114",1936-02-18,San Marino,28.9,Person
203,Catherine Parks,"PSC 9007, Box 7902
APO AE 43087",1997-06-23,Poland,62.91,Person
204,Tina Lewis,"8780 Cherry Wall Apt. 273
North Stacyside, MH 03859",1921-01-20,Libyan Arab Jamahiriya,4.06,Person
205,Joe Smith,"6245 Ferrell Courts
Jackberg, LA 64495",1932-03-17,Antigua and Barbuda,73.13,Company
206,Cindy Moyer,"855 Johnson Locks
Robinsonshire, NH 41128",1917-11-24,Andorra,16.82,Company
207,Dalton Estrada,"725 Huffman Ways Suite 953
Floydside, WI 31674",1944-09-08,Timor-Leste,55.64,Person
208,Julia Ellis,"75731 Clark Radial Suite 069
Port Jessica, FM 77382",1990-06-11,Canada,61.48,Company
209,Andrew Berger,"604 Alan Summit
Port Austinburgh, DE 35093",1938-06-16,Myanmar,89.4,Company
210,Patricia Anthony,"6046 Katie Village Apt. 514
Lake Scottville, PW 07063",1950-12-25,Solomon Islands,47.94,Person
211,Nicole Bailey,"7584 Stephanie Corner Suite 142
Johnsonshire, CT 69732",2021-05-22,Greenland,58.63,Person
212,Scott Perez,"488 Hernandez Cliff Suite 587
New Kristenmouth, MD 43174",1982-10-18,Dominica,49.14,Person
213,Victor Gill,"30175 Coleman Forge
New Angela, WV 83643",2004-03-15,Greece,27.15,Person
214,Jared Warner,"PSC 5760, Box 9544
APO AP 02732",1953-02-05,Mauritius,27.9,Company
215,Kelly Stevenson,"00277 Bennett Turnpike Apt. 945
Brownton, LA 90932",1995-03-14,Moldova,71.9,Company
216,Patricia Johnson,"7920 Nelson Mountains Apt. 561
Port Markmouth, KY 01293",1999-04-14,Pakistan,46.97,Person
217,Tristan Johnson,"43209 Brenda Views Suite 493
Victoriamouth, IN 65956",1941-01-28,Hong Kong,42.53,Company
218,Brendan Rhodes,"779 Kayla Mission Apt. 058
Lake Jesse, NC 92468",2024-05-25,Benin,32.41,Person
219,Heather Shepherd,"PSC 5346, Box 3845
APO AE 34327",1972-05-04,Uganda,34.26,Person
220,Donna Fox,"0433 Strong Summit
Williamborough, NV 94967",1937-11-03,Kiribati,50.05,Person
221,Christopher Long,"791 Watson Estates Suite 305
East Theresamouth, NH 02637",1988-02-18,Rwanda,11.97,Person
222,Joseph Ferguson,"84400 Maldonado Garden Suite 704
Rogersfort, AZ 06246",1913-09-13,Kazakhstan,97.81,Person
223,Justin Davis,"1206 Emily Point Suite 030
East Carolyn, TX 01101",1932-03-16,Zimbabwe,61.69,Company
224,John Newman,"3029 Reese Ramp
North Robinfort, DE 96515",1994-12-29,Kuwait,71.29,Person
225,Lori Harris,"613 Adam Highway Suite 063
Gatesmouth, TX 57149",1975-03-28,Cayman Islands,40.5,Person
226,Joseph Mcneil,"908 Gregory Shores
East Shelbychester, NY 24474",2022-05-09,Cayman Islands,87.55,Person
227,Amber Moore,"33044 Howard Parkways
Marychester, TN 13418",1956-06-29,Samoa,62.27,Person
228,Richard Morales,"144 Lewis Course Suite 510
Port Hannah, PA 35092",1959-08-13,Aruba,18.98,Company
229,Juan Wright,"185 Reilly Fork
South Michael, WV 04366",1956-08-19,Solomon Islands,7.12,Company
230,Sylvia Davis,"981 Edward Greens
East Charles, ID 05999",1933-11-07,Guinea-Bissau,66.23,Person
231,Sandra Moreno,"588 Cruz Overpass Suite 338
Lake Shannonhaven, WI 80886",2021-06-28,Cyprus,70.77,Person
232,Jason Ford,"6863 Jason Mountain Suite 864
South Emilyhaven, VA 78395",1980-12-20,British Virgin Islands,65.33,Company
233,Dr. John Smith,"01718 Courtney Tunnel
Tonyaville, IN 51704",1974-10-27,Iceland,75.39,Company
234,John Lawrence PhD,"Unit 1890 Box 6414
DPO AA 80187",1918-03-26,Bouvet Island (Bouvetoya),57.79,Company
235,Jill Barron,"9145 David Springs
South Ruth, ID 38605",1924-02-20,Czech Republic,0.97,Company
236,Mark Rush,"231 Russell Island Apt. 158
New Christophershire, MN 50004",1960-04-28,Yemen,35.76,Person
237,Lynn Jones,"2739 Thomas Avenue
East Brianfurt, TN 79566",2024-10-02,Myanmar,81.31,Company
238,Colleen Hawkins,"37980 Garcia Pass Suite 807
Aaronfort, MI 07550",1942-12-12,Gambia,76.9,Person
239,Kimberly Gray,"27694 Gray Green Apt. 114
New Susanfurt, PW 46083",1977-08-07,Holy See (Vatican City State),69.46,Person
240,Jeremy Allen,"8522 Monica Forges Suite 805
Jacquelineburgh, NJ 14438",1986-03-04,Slovakia (Slovak Republic),11.17,Company
